"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2010 General Election","ALLEGHENY","Representative in the General Assembly","40th Legislative District","Republican","MAHER, JOHN","3,964","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","42nd Legislative District","Democratic","SMITH, MATT","7,158","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","42nd Legislative District","Republican","MEANS, SUE","4,704","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","44th Legislative District","Democratic","UHRIC, RAY","5,062","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","44th Legislative District","Republican","MUSTIO, MARK","4,970","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","45th Legislative District","Democratic","KOTIK, NICK","7,494","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","45th Legislative District","Republican","KIME, AARON","2,279","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","46th Legislative District","Democratic","WHITE, JESSE","415","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in the General Assembly","46th Legislative District","Republican","DELUCA, GREGORY E.","151","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 37th Senatorial District (District 237)","Democratic","BRICMONT, DANIEL K.","13,495","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 37th Senatorial District (District 237)","Democratic","BUCHEWICZ, JOAN M.","15,733","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 37th Senatorial District (District 237)","Democratic","MILLS, NANCY PATTON","14,369","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 37th Senatorial District (District 237)","Democratic","SCHMOTZER, AMY JUDE","14,600","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 37th Senatorial District (District 237)","Democratic","SCHMOTZER, MARTIN MICHAEL","14,034","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 38th Senatorial District (District 238)","Democratic","ARENA, MATTHEW A.","10,037","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 38th Senatorial District (District 238)","Democratic","FRAZIER, BRENDA L.","13,612","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 38th Senatorial District (District 238)","Democratic","JIMENEZ, DANIEL","10,007","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 38th Senatorial District (District 238)","Democratic","MACKLIN, PAMELA","12,856","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 38th Senatorial District (District 238)","Democratic","MALESKI, CYNTHIA M.","10,852","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 38th Senatorial District (District 238)","Democratic","TURPIN, MIKE","11,524","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 40th Senatorial District (District 240)","Democratic","BROWN, SHARON","8,030","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 40th Senatorial District (District 240)","Democratic","CLINE, BRAD","5,608","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 40th Senatorial District (District 240)","Democratic","O'BRIEN, BRIDGET A. WATSON","6,641","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 40th Senatorial District (District 240)","Democratic","O'BRIEN, GERALD R.","6,997","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 40th Senatorial District (District 240)","Democratic","RAPACH, JENNIFER BUCHANAN","7,536","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 42nd Senatorial District (District 242)","Democratic","BIANCO, JOSEPH","13,174","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 42nd Senatorial District (District 242)","Democratic","FRANK, ROBERT VINCENT","14,011","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 42nd Senatorial District (District 242)","Democratic","PALMER, JANINE","16,912","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 42nd Senatorial District (District 242)","Democratic","PANZA, RON","15,440","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 42nd Senatorial District (District 242)","Democratic","VINCI, JANICE","16,087","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 42nd Senatorial District (District 242)","Democratic","WAGNER, EILEEN","19,267","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 42nd Senatorial District (District 242)","Democratic","WAHLEN, MICHAEL K.","12,717","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 43rd Senatorial District (District 243)","Democratic","DANKO, BARBARA DALY","19,494","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 43rd Senatorial District (District 243)","Democratic","ERNSBERGER, BARBARA BEHREND","18,335","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 43rd Senatorial District (District 243)","Democratic","FALCE, ROBERT","11,741","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 43rd Senatorial District (District 243)","Democratic","FISCHER, KEVIN J.","11,645","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 43rd Senatorial District (District 243)","Democratic","FITZGERALD, RICH","16,816","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 43rd Senatorial District (District 243)","Democratic","KAZOUR, DIANA","15,959","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 43rd Senatorial District (District 243)","Democratic","LEIBOWITZ, MARVIN","12,647","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 43rd Senatorial District (District 243)","Democratic","SWEENEY, PATRICK A.","15,482","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 45th Senatorial District (District 245)","Democratic","COMENSKY, BURTON","3,492","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 45th Senatorial District (District 245)","Democratic","KORTZ, BILL","9,127","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 45th Senatorial District (District 245)","Democratic","LOMEO, JAMES","8,576","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 45th Senatorial District (District 245)","Democratic","MATTA, BRADLEY","7,894","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 45th Senatorial District (District 245)","Democratic","MATTA, FLORENCE","11,158","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 45th Senatorial District (District 245)","Democratic","MULLEN, CARMELLA","7,956","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 45th Senatorial District (District 245)","Democratic","MULLEN, JAMES R.","5,125","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 45th Senatorial District (District 245)","Democratic","PASTORE, RUTH M","10,113","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Democratic State Committee","Allegheny County 45th Senatorial District (District 245)","Democratic","TEDESCO, ALFRED J","10,645","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County At-Large (District 2)","Republican","BROWN, JUDY","15,490","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County At-Large (District 2)","Republican","BUCKELS, ROXANNE","4,811","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County At-Large (District 2)","Republican","DOERBECKER, KENNETH G.","5,988","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County At-Large (District 2)","Republican","HAGERMAN, JAY","4,045","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County At-Large (District 2)","Republican","KRESS, ED","10,114","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County At-Large (District 2)","Republican","MCMULLEN, MIKE","6,431","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County At-Large (District 2)","Republican","SHAHEEN, KAREN","8,668","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County 37th Senatorial District (District 237)","Republican","BAGUET, JACQUELINE","6,448","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County 37th Senatorial District (District 237)","Republican","BELLO, DINO","4,800","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County 37th Senatorial District (District 237)","Republican","BROWN, JUDY","7,833","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County 37th Senatorial District (District 237)","Republican","BUCKELS, ROXANNE","3,856","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County 37th Senatorial District (District 237)","Republican","DODDATO, BOB","4,584","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County 37th Senatorial District (District 237)","Republican","MEANS, JIM","9,071","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County 37th Senatorial District (District 237)","Republican","MEANS, SUE","7,770","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County 37th Senatorial District (District 237)","Republican","OLIVERIO, LOUIS M.","7,525","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County 38th Senatorial District (District 238)","Republican","SAXON, LAURIE J.","2,022","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County 38th Senatorial District (District 238)","Republican","TURNER, H. WOODRUFF","4,337","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County 38th Senatorial District (District 238)","Republican","WEAVER, PATTI","2,787","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County 40th Senatorial District (District 240)","Republican","DOERBECKER, KENNETH G.","4,785","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County 40th Senatorial District (District 240)","Republican","KENNEDY, SARA","6,531","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County 40th Senatorial District (District 240)","Republican","KIRK, CINDY","6,565","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County 40th Senatorial District (District 240)","Republican","KRESS, ED","5,288","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County 40th Senatorial District (District 240)","Republican","MCMULLEN, MIKE","5,245","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County 40th Senatorial District (District 240)","Republican","MIRTH, PATRICIA M.","2,911","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County 40th Senatorial District (District 240)","Republican","NUDI, LOU","4,839","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County 40th Senatorial District (District 240)","Republican","OLSON, JAMES R.","3,811","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County 40th Senatorial District (District 240)","Republican","SAILER, MCKAY","4,231","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Member of the Republican State Committee","Allegheny County 40th Senatorial District (District 240)","Republican","WHITESIDE, TAMMY","2,985","0","0","","","","","","","","",""
