"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2005 Municipal Election","FOREST","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","665","565","","","","","","","","",""
"2005 Municipal Election","FOREST","Judge of the Court of Common Pleas","37th Judicial District (Forest & Warren Counties)","Democratic","SKERDA, MAUREEN A.","864","0","0","","","","","","","","",""
"2005 Municipal Election","FOREST","Judge of the Court of Common Pleas","37th Judicial District (Forest & Warren Counties)","Republican","ARANYOS, JOHN A.","659","0","0","","","","","","","","",""
"2005 Municipal Election","FRANKLIN","Justice of the Supreme Court (Retention)","StateWide","","NEWMAN                   , SANDRA           SCHULTZ","","8,334","9,502","","","","","","","","",""
"2005 Municipal Election","FRANKLIN","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","7,015","10,458","","","","","","","","",""
"2005 Municipal Election","FRANKLIN","Judge of the Court of Common Pleas (Retention)","39th Judicial District (Franklin & Fulton Counties)","","WALKER                   , JOHN             R.","","13,891","4,378","","","","","","","","",""
"2005 Municipal Election","FULTON","Justice of the Supreme Court (Retention)","StateWide","","NEWMAN                   , SANDRA           SCHULTZ","","1,144","845","","","","","","","","",""
"2005 Municipal Election","FULTON","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","894","998","","","","","","","","",""
"2005 Municipal Election","FULTON","Judge of the Court of Common Pleas (Retention)","39th Judicial District (Franklin & Fulton Counties)","","WALKER                   , JOHN             R.","","1,616","479","","","","","","","","",""
"2005 Municipal Election","GREENE","Justice of the Supreme Court (Retention)","StateWide","","NEWMAN                   , SANDRA           SCHULTZ","","3,307","2,773","","","","","","","","",""
"2005 Municipal Election","GREENE","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","3,050","2,994","","","","","","","","",""
"2005 Municipal Election","GREENE","Judge of the Court of Common Pleas (Retention)","13th Judicial District (Greene County)","","GRIMES                   , H.               TERRY","","5,383","1,312","","","","","","","","",""
"2005 Municipal Election","HUNTINGDON","Justice of the Supreme Court (Retention)","StateWide","","NEWMAN                   , SANDRA           SCHULTZ","","3,821","3,075","","","","","","","","",""
"2005 Municipal Election","HUNTINGDON","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","3,274","3,513","","","","","","","","",""
"2005 Municipal Election","INDIANA","Justice of the Supreme Court (Retention)","StateWide","","NEWMAN                   , SANDRA           SCHULTZ","","6,995","5,965","","","","","","","","",""
"2005 Municipal Election","INDIANA","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","6,292","6,578","","","","","","","","",""
"2005 Municipal Election","JEFFERSON","Justice of the Supreme Court (Retention)","StateWide","","NEWMAN                   , SANDRA           SCHULTZ","","5,730","4,563","","","","","","","","",""
"2005 Municipal Election","JEFFERSON","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","5,166","5,049","","","","","","","","",""
"2005 Municipal Election","JUNIATA","Justice of the Supreme Court (Retention)","StateWide","","NEWMAN                   , SANDRA           SCHULTZ","","2,380","3,146","","","","","","","","",""
